DATAFLOW;LAST UPDATE;freq;density;unit;age;fruitvar;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;DK;2002;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;DK;2007;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;DK;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;EE;2007;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;EE;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;EL;2002;33029.1;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;EL;2007;32439.9;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;EL;2012;27017.50;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;EL;2017;28783.71;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;ES;2002;131435;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;ES;2007;158824;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;ES;2012;149971.11;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;ES;2017;135092.23;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;EU27_2020;2017;255533.84;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;EU28;2012;267255.34;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;EU28;2017;255533.84;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;FI;2002;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;FI;2007;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;FI;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;FR;2002;28.96;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;FR;2007;28.55;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;FR;2012;801.58;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;HR;2012;;z
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;HU;2007;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;HU;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;IE;2002;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;IE;2007;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;IE;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;IT;2002;76042.2;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;IT;2007;73785.9;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;IT;2012;77518.88;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;IT;2017;78347.71;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;LT;2007;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;LT;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;LU;2002;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;LU;2007;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;LU;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;LV;2007;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;LV;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;MT;2012;;z
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;NL;2002;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;NL;2007;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;NL;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;PL;2007;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;PL;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;PT;2002;11582;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;PT;2007;12416;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;PT;2012;10744.93;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;PT;2017;12201.52;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;RO;2007;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;RO;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;SE;2002;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;SE;2007;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;SE;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;SI;2007;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;SI;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;SK;2007;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;SK;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;UK;2002;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;UK;2007;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;ORA;UK;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;AT;2012;211.01;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;AT;2017;218.38;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;BG;2012;3738.45;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;BG;2017;2795.63;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;CY;2012;361.60;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;CY;2017;298.82;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;CZ;2012;761.38;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;DE;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;DK;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;EE;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;EL;2012;32229.10;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;EL;2017;18434.21;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;ES;2012;65459.48;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;ES;2017;73175.58;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;EU27_2020;2017;168020.74;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;EU28;2012;180477.45;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;EU28;2017;168020.74;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;FI;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;FR;2012;10492.69;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;FR;2017;10580.89;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;HR;2012;1042.27;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;HU;2012;3627.16;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;HU;2017;3261.85;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;IE;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;IT;2012;56418.52;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;IT;2017;54195.94;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;LT;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;LU;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;LV;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;MT;2012;;z
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;NL;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;PL;2012;1315.26;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;PL;2017;716.34;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;PT;2012;2535.83;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;PT;2017;2497.59;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;RO;2012;1886.75;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;RO;2017;1845.55;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;RS;2017;7160.00;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;SE;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;SI;2012;397.9;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCD;UK;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;BG;2012;614.03;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;BG;2017;867.29;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;CZ;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;DE;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;DK;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;EE;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;EL;2017;15336.27;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;ES;2012;11704.28;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;ES;2017;5739.51;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;EU27_2020;2017;22528.43;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;EU28;2017;22528.43;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;FI;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;FR;2012;292.51;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;FR;2017;338.69;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;HR;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;HU;2012;348.66;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;HU;2017;246.68;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;IE;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;IT;2012;5685.29;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;LT;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;LU;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;LV;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;MT;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;NL;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;RO;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;SE;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PCI;UK;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;AT;2002;469.84;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;AT;2007;506.38;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;AT;2012;534.52;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;AT;2017;620.88;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;BE;2002;6388.97;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;BE;2007;7224.56;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;BE;2012;8317.59;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;BE;2017;8941.41;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;BG;2007;298.36;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;BG;2012;540.03;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;CY;2007;146;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;CY;2012;86.53;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;CY;2017;70.85;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;CZ;2007;715.54;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;CZ;2012;1025.96;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;CZ;2017;870.10;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;DE;2002;1685.01;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;DE;2007;1580.8;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;DE;2012;1360.67;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;DE;2017;1456.81;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;DK;2002;399.75;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;DK;2007;400.63;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;DK;2012;362.67;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;DK;2017;313.54;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;EE;2007;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;EE;2012;0;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;EL;2002;3386.4;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;EL;2007;3126.89;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;EL;2012;3211.64;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;EL;2017;3304.31;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;ES;2002;31306;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;ES;2007;25845.4;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;ES;2012;21988.64;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;ES;2017;18108.00;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;EU27_2020;2017;98204.14;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;EU28;2012;104038.67;
ESTAT:ORCH_TOTAL(1.0);20.03.2019 23:00;A;TOTAL;HA;TOTAL;PED;EU28;2017;99702.73;
